id,uuid,created,updated,date,content,comment,tutor_id,student_id,grade_id
report_id_sequence,23c845c5-2ca9-491a-a7fe-56d882fe0b45,2021-02-06,2021-04-23,2021-02-24,content,comment,101,1,1
report_id_sequence,4f383f34-72b4-4f70-961a-22055f8bf536,2021-10-02,2022-01-26,2021-10-29,content,comment,102,2,2
report_id_sequence,f2ef9da8-868b-4806-8285-b456492f871a,2022-01-22,2021-03-22,2021-02-12,content,comment,103,3,3
report_id_sequence,eae9fd36-1073-4166-8938-a6b3c1a2c00b,2021-03-13,2021-07-15,2021-11-28,content,comment,104,4,4
report_id_sequence,448f5a40-3621-4b13-94a2-b5b2d97632be,2021-08-13,2021-08-31,2022-01-09,content,comment,105,5,5
report_id_sequence,d2a5b8d5-aeeb-4ed2-b304-23de713c77d0,2021-03-13,2021-07-12,2022-01-02,content,comment,106,6,6
report_id_sequence,b92a15c3-fe61-4e3c-8aaa-042a8bb98036,2021-11-28,2021-10-02,2021-12-02,content,comment,107,7,7
report_id_sequence,f671160d-adba-4538-84fe-3e5ccade2150,2021-09-13,2021-07-30,2021-11-01,content,comment,108,8,8
report_id_sequence,e1083e7f-52e0-46c5-b20a-be829d5fa4eb,2021-12-24,2021-06-19,2021-06-26,content,comment,109,9,9
report_id_sequence,660783cd-5bb7-49c0-8449-05c4a3525348,2022-01-16,2021-09-06,2021-02-18,content,comment,110,10,10
report_id_sequence,bbd68fc0-8156-49d5-a267-d70ed0e56cf5,2021-07-09,2022-01-29,2021-11-13,content,comment,111,11,11
report_id_sequence,882f42fd-d06d-4e2f-8974-faddd46ef8d4,2021-03-28,2021-03-30,2021-03-04,content,comment,112,12,12
report_id_sequence,8468b01c-b946-48c1-bbba-690609b11582,2021-05-23,2022-01-05,2021-03-17,content,comment,113,13,13
report_id_sequence,bf54f1fd-691d-4800-bdbd-84303582c511,2021-02-17,2021-08-10,2021-02-16,content,comment,114,14,14
report_id_sequence,81fe69f9-cefd-4156-9315-fc2e60589eca,2021-11-24,2021-02-12,2021-05-28,content,comment,115,15,15
report_id_sequence,342a1b9c-c0de-4a2a-875c-279b3b72f623,2021-06-15,2021-09-23,2021-04-02,content,comment,116,16,16
report_id_sequence,c706174d-41ac-47e3-a64f-b4b2c19802ea,2021-05-15,2021-11-07,2021-02-14,content,comment,117,17,17
report_id_sequence,bd73dd46-b59c-4ae9-8d79-9ea48dc2d4de,2021-05-21,2021-03-22,2021-09-02,content,comment,118,18,18
report_id_sequence,331eade1-c24a-451b-a292-48d416d77c62,2021-03-29,2021-05-24,2021-09-20,content,comment,119,19,19
report_id_sequence,85f09ee1-6dbe-4649-b4ea-a6a3d0a96c46,2021-09-14,2021-12-10,2021-06-09,content,comment,120,20,20
