id,uuid,created,updated,date,amount,payer,purpose,comment,replenishment_method,student_id
account_replenishment_id_sequence,6058b73b-0f95-4d2b-81e4-4cfa481998e5,2021-11-26,2021-11-28,2021-08-24,7,bank,for lessons,for lessons,CASHLESS_PAYMENT,1
account_replenishment_id_sequence,5da6789c-f0c4-4e1e-a741-ff5e0464c3e7,2021-05-24,2021-02-17,2022-02-02,3,bank,for lessons,for lessons,CASHLESS_PAYMENT,2
account_replenishment_id_sequence,14beb7e7-8582-4c28-a7e9-1bf028958d42,2021-07-25,2021-10-20,2021-06-11,8,bank,for lessons,for lessons,CASHLESS_PAYMENT,3
account_replenishment_id_sequence,c3bc7b1c-7a7b-4807-bfcf-0f5a52f8df3f,2021-08-03,2021-10-05,2021-06-11,7,bank,for lessons,for lessons,CASHLESS_PAYMENT,4
account_replenishment_id_sequence,79f319ed-fc9e-41b8-84b7-3737699e2cdc,2021-05-23,2021-08-23,2021-05-30,7,bank,for lessons,for lessons,CASHLESS_PAYMENT,5
account_replenishment_id_sequence,1d9f0d9b-fbcc-415f-b6cd-7953b5769402,2022-01-29,2022-01-10,2021-04-24,10,bank,for lessons,for lessons,CASHLESS_PAYMENT,6
account_replenishment_id_sequence,9c3f5662-a12c-4927-ba0e-ae013f437f3b,2021-12-24,2021-08-08,2021-07-04,10,bank,for lessons,for lessons,CASHLESS_PAYMENT,7
account_replenishment_id_sequence,c76d7da6-e053-4722-a597-84840abf3f33,2021-03-23,2021-05-12,2021-03-02,4,bank,for lessons,for lessons,CASHLESS_PAYMENT,8
account_replenishment_id_sequence,08698e74-b08b-4e1c-aec4-577f9fd9e1aa,2021-09-14,2021-06-25,2021-10-04,9,bank,for lessons,for lessons,CASHLESS_PAYMENT,9
account_replenishment_id_sequence,f128c309-2dca-4d20-ab69-9d9a8e7f3871,2021-10-20,2022-01-13,2021-11-20,4,bank,for lessons,for lessons,CASHLESS_PAYMENT,10
account_replenishment_id_sequence,928c9898-c7c9-492b-950a-96be7c69555c,2022-01-10,2021-10-10,2021-11-10,3,bank,for lessons,for lessons,CASHLESS_PAYMENT,11
account_replenishment_id_sequence,876c3d8e-9400-46b5-af3c-cb93042ca9e9,2021-11-19,2021-11-01,2021-08-10,5,bank,for lessons,for lessons,CASHLESS_PAYMENT,12
account_replenishment_id_sequence,dff30372-6ca7-4fe5-95f7-02f30dbecf55,2021-04-22,2021-05-05,2022-01-29,5,bank,for lessons,for lessons,CASHLESS_PAYMENT,13
account_replenishment_id_sequence,16711cdd-0077-4ed6-826a-c1ad04856d51,2021-08-24,2021-06-12,2021-03-11,1,bank,for lessons,for lessons,CASHLESS_PAYMENT,14
account_replenishment_id_sequence,811687bc-3f28-42b4-84d8-d254e681d1c2,2022-01-05,2021-09-01,2021-08-14,5,bank,for lessons,for lessons,CASHLESS_PAYMENT,15
account_replenishment_id_sequence,e15840aa-177d-4e59-aecb-e75d2d348733,2021-04-14,2022-01-09,2021-05-16,4,bank,for lessons,for lessons,CASHLESS_PAYMENT,16
account_replenishment_id_sequence,6b9148e1-5cd3-489e-9990-94b67ac25c6c,2021-09-29,2021-09-07,2021-05-01,10,bank,for lessons,for lessons,CASHLESS_PAYMENT,17
